Date, FileName, Type, MD5, CRC64, Size, Severity, Threat_Name, AhnLab-V3, VirusTotal, DICA_5.0.1.71, DICA_4.1.2.1, DICA_5.0.0.54, DICA_5.0.1.39, Heimdal
2015-05-06,3365b9af72a165b4915cab8b7673c8a0_HM150506AADTI-000001.pdf, pdf, 3365b9af72a165b4915cab8b7673c8a0, 3476e71ffc90f5c5, 183366, 0, None, none, none, BENIGN, BENIGN, BENIGN, BENIGN, BENIGN
2015-05-06,452c8ee313179176e091d7692bb402bd_HM150506AAFMB-000003.pdf, pdf, 452c8ee313179176e091d7692bb402bd, c8d2c17318843fe5, 147937, 0, None, none, none, BENIGN, BENIGN, BENIGN, BENIGN, BENIGN
2015-05-06,7686f7e7dc6cfee6307158d8371c5d36_HM150506AAFTU-000001.pdf, pdf, 7686f7e7dc6cfee6307158d8371c5d36, 3fb2e6ede71d8426, 223553, 0, None, Clean, 0/57, BENIGN, BENIGN, BENIGN, BENIGN, BENIGN
2015-05-06,a0d6e10c699bdf40274e074bc0e50a82_HM150506AAFMC-000001.pdf, pdf, a0d6e10c699bdf40274e074bc0e50a82, 2fb4bb612c7a4ed8, 167118, 0, None, none, none, BENIGN, BENIGN, BENIGN, BENIGN, BENIGN
2015-05-06,a125fea1f5c287e5e6648539addb3664_HM150506AAFZI-000001.pdf, pdf, a125fea1f5c287e5e6648539addb3664, 8aeb4be03d89ad99, 24314, 0, None, none, none, BENIGN, BENIGN, BENIGN, BENIGN, BENIGN
2015-05-06,b9ba2dc55ca3f09ce7f7f692e88e318f_HM150506AAFCO-000001.pdf, pdf, b9ba2dc55ca3f09ce7f7f692e88e318f, 30c66a75c070dd54, 133671, 0, None, none, none, BENIGN, BENIGN, BENIGN, BENIGN, BENIGN
2015-05-06,05be09f648bf2b62ebf9cd79ccfd0087_EC150506AAEDW-000005.doc, doc, 05be09f648bf2b62ebf9cd79ccfd0087, 43212b5fe997aaff, 196608, 10, Exploit/DOC.ExeShellCode, Clean, 24/55, MALICOUS, MALICOUS, MALICOUS, MALICOUS, MALICIOUS/Macro
2015-05-06,1bb72ca32365228bd18a6914e5be0df2_EC150506AAIBI-000039.doc, doc, 1bb72ca32365228bd18a6914e5be0df2, a9ecef9ff034d580, 57856, 10, Exploit/DOC.MalVBScript, Clean, 13/57, MALICOUS, MALICOUS, MALICOUS, MALICOUS, MALICIOUS/Macro
2015-05-06,710741edd48d59d3927aec7d55644d15_HM150506AACDJ-000001.doc, doc, 710741edd48d59d3927aec7d55644d15, b369b489c1ff5d87, 60928, 0, None, none, none, BENIGN, BENIGN, BENIGN, BENIGN, BENIGN
2015-05-06,91207439790ffe5f0d177c27cf4d68ac_EC150506AAEDW-000003.doc, doc, 91207439790ffe5f0d177c27cf4d68ac, a318048b5a7d2ef1, 196096, 10, Exploit/DOC.ExeShellCode, Clean, 21/56, MALICOUS, MALICOUS, MALICOUS, MALICOUS, MALICIOUS/Macro
2015-05-06,a5cfe37d8ecfc22a60954f8462273e3f_EC150506AAEDW-000002.doc, doc, a5cfe37d8ecfc22a60954f8462273e3f, 7f2d784bc10aac43, 198144, 10, Exploit/DOC.ExeShellCode, Clean, 23/55, MALICOUS, MALICOUS, MALICOUS, MALICOUS, MALICIOUS/Macro
2015-05-06,bab231ddf87a24dd81638483f209d238_EC150506AAHZP-000001.doc, doc, bab231ddf87a24dd81638483f209d238, 3c9a0dd11b78b926, 57856, 10, Exploit/DOC.MalVBScript, Clean, 8/57, MALICOUS, MALICOUS, MALICOUS, MALICOUS, MALICIOUS/Macro
2015-05-06,beac50783f93f52b588cfb4c5bb2e2ff_EC150506AAGJO-000024.doc, doc, beac50783f93f52b588cfb4c5bb2e2ff, 4287d36076abf18b, 85504, 10, Exploit/DOC.ExeShellCode, Clean, 25/53, MALICOUS, MALICOUS, MALICOUS, MALICOUS, MALICIOUS/Macro
2015-05-06,dae65d2d0a89a5feb5d2e81022f100a5_HM150506AAFMC-000002.doc, doc, dae65d2d0a89a5feb5d2e81022f100a5, 1d2041517cbd82ca, 50176, 0, None, none, none, BENIGN, BENIGN, BENIGN, BENIGN, BENIGN
2015-05-06,0084137fe90e9b7e5f60486444c2adae_EC150506AACGR-000022.xls, xls, 0084137fe90e9b7e5f60486444c2adae, 2d476942ab59d51e, 15109, 0, None, none, none, BENIGN, BENIGN, BENIGN, BENIGN, BENIGN
2015-05-06,098ee050e6f7a7a23c594421b03f4f5f_HM150506AAHOL-000001.xls, xls, 098ee050e6f7a7a23c594421b03f4f5f, 1317995add239b46, 30208, 0, None, Clean, 0/56, BENIGN, BENIGN, BENIGN, BENIGN, BENIGN
2015-05-06,0db24cb270529b75d87b61ddbc635ad6_HM150506AAGHX-000001.xls, xls, 0db24cb270529b75d87b61ddbc635ad6, 0a992b854fa446f3, 16384, 0, None, Clean, 0/56, BENIGN, BENIGN, BENIGN, BENIGN, BENIGN
2015-05-06,254a54da30c19e6a886447a8626d248b_HM150506AAFWE-000009.xls, xls, 254a54da30c19e6a886447a8626d248b, 1fe3f8c1f368e4e4, 328192, 0, None, none, none, BENIGN, BENIGN, BENIGN, BENIGN, BENIGN
2015-05-06,2bfebc5acee8db6c9183b34a956764db_HM150506AAGDO-000001.xls, xls, 2bfebc5acee8db6c9183b34a956764db, 05ba47a7f4de429c, 30208, 0, None, Clean, 0/56, BENIGN, BENIGN, BENIGN, BENIGN, BENIGN
2015-05-06,375daaf9fc5bcb1df07471f3431cbbce_HM150506AAHZL-000001.xls, xls, 375daaf9fc5bcb1df07471f3431cbbce, f6c509a69d4d32ac, 22016, 0, None, Clean, 0/56, BENIGN, BENIGN, BENIGN, BENIGN, BENIGN
2015-05-06,385264fedbeeb60efd9162e4340fa45c_HM150506AAHPD-000002.xls, xls, 385264fedbeeb60efd9162e4340fa45c, 72ef6c4d688fcdfb, 30720, 0, None, none, none, BENIGN, BENIGN, BENIGN, BENIGN, BENIGN
2015-05-06,4ad3b702d1966c40599cd31ae20ab64e_HM150506AAFWE-000010.xls, xls, 4ad3b702d1966c40599cd31ae20ab64e, bcda9d099b7735a5, 169472, 0, None, none, none, BENIGN, BENIGN, BENIGN, BENIGN, BENIGN
2015-05-06,60038abd290a2539e3cfa2df2acb1109_HM150506AAGEJ-000001.xls, xls, 60038abd290a2539e3cfa2df2acb1109, 21c17a63701c4ba4, 26624, 0, None, Clean, 0/56, BENIGN, BENIGN, BENIGN, BENIGN, BENIGN
2015-05-06,62281e49b512bff915f77230f53c0382_HM150506AACME-000002.xls, xls, 62281e49b512bff915f77230f53c0382, 30074539d7272a0a, 26112, 0, None, none, none, BENIGN, BENIGN, BENIGN, BENIGN, BENIGN
2015-05-06,7ef712605c415324fcf1344814ec8e5a_HM150506AAGKQ-000001.xls, xls, 7ef712605c415324fcf1344814ec8e5a, 5c0d7be1a1d93e6b, 20992, 0, None, Clean, 0/56, BENIGN, BENIGN, BENIGN, BENIGN, BENIGN
2015-05-06,8806aaab937b9dfdfaa62cd43af42cfd_HM150506AABSD-000001.xls, xls, 8806aaab937b9dfdfaa62cd43af42cfd, 7da3767c286e15c5, 20992, 0, None, Clean, 0/55, BENIGN, BENIGN, BENIGN, BENIGN, BENIGN
2015-05-06,8e741ace3bec0a51e1f2e8ffd6ddc7ba_HM150506AAGEY-000001.xls, xls, 8e741ace3bec0a51e1f2e8ffd6ddc7ba, d2417f3f31cae354, 193536, 0, None, none, none, BENIGN, BENIGN, BENIGN, BENIGN, BENIGN
2015-05-06,91c8c55dc017ad4882b829dae7074906_HM150506AAFTX-000001.xls, xls, 91c8c55dc017ad4882b829dae7074906, b54086511e9cf690, 30208, 0, None, Clean, 0/55, BENIGN, BENIGN, BENIGN, BENIGN, BENIGN
2015-05-06,923fbe92d4ef361a989ac6321a1ac1ec_EC150506AAFSY-000022.xls, xls, 923fbe92d4ef361a989ac6321a1ac1ec, 76180f7198c467bd, 13943, 0, None, none, none, BENIGN, BENIGN, BENIGN, BENIGN, BENIGN
2015-05-06,9dc2128d8f9588fcde980e1294c01dcf_HM150506AAHPC-000001.xls, xls, 9dc2128d8f9588fcde980e1294c01dcf, ff63b89d9a0cab63, 22016, 0, None, Clean, 0/56, BENIGN, BENIGN, BENIGN, BENIGN, BENIGN
2015-05-06,aa2d6091e7d813c7f345fe47f93db3fd_HM150506AAHZD-000001.xls, xls, aa2d6091e7d813c7f345fe47f93db3fd, a9e2bc55787b6c79, 30208, 0, None, Clean, 0/56, BENIGN, BENIGN, BENIGN, BENIGN, BENIGN
2015-05-06,ab0601d0a2c0f95d364724fa0ee5c9c9_HM150506AACMB-000001.xls, xls, ab0601d0a2c0f95d364724fa0ee5c9c9, 5ff20e4d1ae99dae, 29696, 0, None, none, none, BENIGN, BENIGN, BENIGN, BENIGN, BENIGN
2015-05-06,c53b227614e4be813839225ec54d5128_HM150506AAGKF-000001.xls, xls, c53b227614e4be813839225ec54d5128, d86773018d7b7670, 22016, 0, None, Clean, 0/56, BENIGN, BENIGN, BENIGN, BENIGN, BENIGN
2015-05-06,cff8ed0332a7d693b425b4ccc2883308_HM150506AAHZC-000002.xls, xls, cff8ed0332a7d693b425b4ccc2883308, 9ef211b4d4a8b9b4, 30208, 0, None, none, none, BENIGN, BENIGN, BENIGN, BENIGN, BENIGN
2015-05-06,ea7668078864793ea8cae31d08168e5c_HM150506AAGFI-000001.xls, xls, ea7668078864793ea8cae31d08168e5c, d5b69280102505ef, 44032, 0, None, Clean, 0/55, BENIGN, BENIGN, BENIGN, BENIGN, BENIGN
2015-05-06,eba22123cb0f8aafca5ba60f9454c3d8_HM150506AAGPC-000001.xls, xls, eba22123cb0f8aafca5ba60f9454c3d8, 943fe3cdade6417b, 30208, 0, None, Clean, 0/56, BENIGN, BENIGN, BENIGN, BENIGN, BENIGN
2015-05-06,6adb338e08bcead42cd51f0b5b573a58_EC150506AADBD-000004.rtf, rtf, 6adb338e08bcead42cd51f0b5b573a58, 8a38a123ea508597, 283884, 10, Exploit/RTF.CVE-2012-0158, Clean, 24/57, MALICOUS, MALICOUS, MALICOUS, MALICOUS, MALICIOUS/Exploit.ROP
2015-05-06,ac0b1712af0b1a41c6bd216d782022a4_EC150506AADBD-000009.rtf, rtf, ac0b1712af0b1a41c6bd216d782022a4, 1be3ccf1a84609b7, 1263377, 10, Exploit/RTF.CVE-2012-0158, Clean, 18/57, MALICOUS, MALICOUS, MALICOUS, MALICOUS, MALICIOUS/Exploit.ROP
2015-05-06,eccc3e3c3c9e863aaf31ec0e2825e820_EC150506AADBD-000007.rtf, rtf, eccc3e3c3c9e863aaf31ec0e2825e820, 00669cc5129c8845, 1378648, 10, Exploit/RTF.CVE-2012-0158, Clean, 16/57, MALICOUS, MALICOUS, MALICOUS, MALICOUS, MALICIOUS/Exploit.ROP
